nombre,url nar,urls db en nar y redirigida son iguales,url db en nar,url db redirigida,codigo status url db,status url db,ultima modificacion de pagina con url db en nar,categoria 1,subcategoria 1,categoria 2,subcategoria 2,categoria 3,subcategoria 3,doi,url redirigida del doi
DDBJ,https://www.oxfordjournals.org/nar/database/summary/1,False,http://www.ddbj.nig.ac.jp,https://www.ddbj.nig.ac.jp/index-e.html,200,OK,16 May 2022,Nucleotide Sequence Databases,International Nucleotide Sequence Database Collaboration,,,,,https://doi.org/10.1093/nar/gkz982,https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gkz982/5625536
Database resources of the National Center for Biotechnology Information,https://www.oxfordjournals.org/nar/database/summary/2,False,http://www.ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/,200,OK,,,,,,,,http://dx.doi.org/10.1093/nar/gkaa892,https://academic.oup.com/nar/article/49/D1/D10/5937080
The European Bioinformatics Institute Tools,https://www.oxfordjournals.org/nar/database/summary/4,False,http://www.ebi.ac.uk,https://www.ebi.ac.uk/,200,OK,16 May 2022,,,,,,,http://dx.doi.org/10.1093/nar/gkz1033,https://academic.oup.com/nar/article/48/D1/D17/5614565
BIG Data Center,https://www.oxfordjournals.org/nar/database/summary/3,False,http://bigd.big.ac.cn,https://ngdc.cncb.ac.cn/,200,,,,,,,,,http://dx.doi.org/10.1093/nar/gkz913,https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gkz913/5614641
DDBJ Database updates and computational infrastructure enhancement,https://www.oxfordjournals.org/nar/database/summary/5,False,http://www.ddbj.nig.ac.jp,https://www.ddbj.nig.ac.jp/index-e.html,200,OK,16 May 2022,,,,,,,http://dx.doi.org/10.1093/nar/gkz982,https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gkz982/5625536
European Nucleotide Archive,https://www.oxfordjournals.org/nar/database/summary/6,False,http://proteininformationresource.org/iPTMnet,https://proteininformationresource.org/iPTMnet/,200,OK,24 May 2014,Nucleotide Sequence Databases,International Nucleotide Sequence Database Collaboration,,,,,https://doi.org/10.1093/nar/gkz1063,https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gkz1063/5624970
GenBank,https://www.oxfordjournals.org/nar/database/summary/7,,www.ncbi.nlm.nih.gov/genbank/,,Invalid URL 'www.ncbi.nlm.nih.gov/genbank/': No schema supplied. Perhaps you meant http://www.ncbi.nlm.nih.gov/genbank/?,Invalid URL 'www.ncbi.nlm.nih.gov/genbank/': No schema supplied. Perhaps you meant http://www.ncbi.nlm.nih.gov/genbank/?,,Nucleotide Sequence Databases,International Nucleotide Sequence Database Collaboration,,,,,https://doi.org/10.1093/nar/gkz956,https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gkz956/5608994
3DIV,https://www.oxfordjournals.org/nar/database/summary/9,False,http://kobic.re.kr/3divv2/,https://www.kobic.re.kr/3divv2/,200,OK,22 Dec 2021,Protein sequence databases,Databases of individual protein families,,,,,http://dx.doi.org/10.1093/nar/gkaa1078,https://academic.oup.com/nar/article/49/D1/D38/6007655
ASpedia,https://www.oxfordjournals.org/nar/database/summary/10,False,http://combio.snu.ac.kr/aspedia,http://combio.snu.ac.kr/aspedia/,200,OK,,,,,,,,http://dx.doi.org/10.1093/nar/gkx1014,http://academic.oup.com/nar/article/46/D1/D58/4584641
CirGRDB,https://www.oxfordjournals.org/nar/database/summary/11,False,http://cirgrdb.biols.ac.cn,http://cirgrdb.biols.ac.cn/,200,OK,,,,,,,,http://dx.doi.org/10.1093/nar/gkx944,http://academic.oup.com/nar/article/46/D1/D64/4559455
