nombre,url nar,urls bd en nar y redirigida son distintas,url bd en nar,url bd redirigida,status url bd,categoria 1,subcategoria 1,categoria 2,subcategoria 2,categoria 3,subcategoria 3,doi,url redirigida del doi,ultima modificacion de la pagina de la bd,dias transcurridos desde la ultima modificacion de la pagina de la bd
DDBJ,https://www.oxfordjournals.org/nar/database/summary/1,True,http://www.ddbj.nig.ac.jp,https://www.ddbj.nig.ac.jp/index-e.html,200,Nucleotide Sequence Databases,International Nucleotide Sequence Database Collaboration,,,,,https://doi.org/10.1093/nar/gkz982,https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gkz982/5625536,2022-05-19,4
Database resources of the National Center for Biotechnology Information,https://www.oxfordjournals.org/nar/database/summary/2,True,http://www.ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkaa892,https://academic.oup.com/nar/article/49/D1/D10/5937080,,
The European Bioinformatics Institute Tools,https://www.oxfordjournals.org/nar/database/summary/4,True,http://www.ebi.ac.uk,https://www.ebi.ac.uk/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkz1033,https://academic.oup.com/nar/article/48/D1/D17/5614565,2022-05-23,0
BIG Data Center,https://www.oxfordjournals.org/nar/database/summary/3,,http://bigd.big.ac.cn,,Remote end closed connection without response,,,,,,,http://dx.doi.org/10.1093/nar/gkz913,https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gkz913/5614641,,
DDBJ Database updates and computational infrastructure enhancement,https://www.oxfordjournals.org/nar/database/summary/5,True,http://www.ddbj.nig.ac.jp,https://www.ddbj.nig.ac.jp/index-e.html,200,,,,,,,http://dx.doi.org/10.1093/nar/gkz982,https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gkz982/5625536,2022-05-19,4
European Nucleotide Archive,https://www.oxfordjournals.org/nar/database/summary/6,True,http://proteininformationresource.org/iPTMnet,https://proteininformationresource.org/iPTMnet/,200,Nucleotide Sequence Databases,International Nucleotide Sequence Database Collaboration,,,,,https://doi.org/10.1093/nar/gkz1063,https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gkz1063/5624970,2014-05-24,2921
GenBank,https://www.oxfordjournals.org/nar/database/summary/7,,www.ncbi.nlm.nih.gov/genbank/,,unknown url type: 'www.ncbi.nlm.nih.gov/genbank/',Nucleotide Sequence Databases,International Nucleotide Sequence Database Collaboration,,,,,https://doi.org/10.1093/nar/gkz956,https://academic.oup.com/nar/advance-article/doi/10.1093/nar/gkz956/5608994,,
3DIV,https://www.oxfordjournals.org/nar/database/summary/9,True,http://kobic.re.kr/3divv2/,https://www.kobic.re.kr/3divv2/,200,Protein sequence databases,Databases of individual protein families,,,,,http://dx.doi.org/10.1093/nar/gkaa1078,https://academic.oup.com/nar/article/49/D1/D38/6007655,2021-12-22,152
ASpedia,https://www.oxfordjournals.org/nar/database/summary/10,True,http://combio.snu.ac.kr/aspedia,http://combio.snu.ac.kr/aspedia/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx1014,http://academic.oup.com/nar/article/46/D1/D58/4584641,,
CirGRDB,https://www.oxfordjournals.org/nar/database/summary/11,,http://cirgrdb.biols.ac.cn,,Remote end closed connection without response,,,,,,,http://dx.doi.org/10.1093/nar/gkx944,http://academic.oup.com/nar/article/46/D1/D64/4559455,,
dbCoRC,https://www.oxfordjournals.org/nar/database/summary/12,False,http://dbcorc.cam-su.org/,http://dbcorc.cam-su.org/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx796,http://academic.oup.com/nar/article/46/D1/D71/4103600,,
DiseaseEnhancer,https://www.oxfordjournals.org/nar/database/summary/13,,http://biocc.hrbmu.edu.cn/DiseaseEnhancer/,, OK,,,,,,,http://dx.doi.org/10.1093/nar/gkx920,http://academic.oup.com/nar/article/46/D1/D78/4559115,,
DreamBASE,https://www.oxfordjournals.org/nar/database/summary/14,True,http://rna.sysu.edu.cn/dreamBase,https://rna.sysu.edu.cn/dreamBase/,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx972,http://academic.oup.com/nar/article/46/D1/D85/4559812,,
EpiDenovo,https://www.oxfordjournals.org/nar/database/summary/15,,http://61.148.58.210:8080/EpiDenovo/,,<urlopen error [Errno 111] Connection refused>,,,,,,,http://dx.doi.org/10.1093/nar/gkx918,http://academic.oup.com/nar/article/46/D1/D92/4428999,,
ExoRBase,https://www.oxfordjournals.org/nar/database/summary/17,False,http://www.exoRBase.org,http://www.exoRBase.org,200,,,,,,,http://dx.doi.org/10.1093/nar/gkx891,http://academic.oup.com/nar/article/46/D1/D106/4372483,,
HEDD,https://www.oxfordjournals.org/nar/database/summary/18,,http://zdzlab.einstein.yu.edu/1/hedd.php,,HTTP Error 404: Not Found,,,,,,,http://dx.doi.org/10.1093/nar/gkx988,http://academic.oup.com/nar/article/46/D1/D113/4564801,,
