nombre,url nar,urls db en nar y redirigida son iguales,url db en nar,url db redirigida,codigo status url db,status url db,ultima modificacion de pagina con url db en nar,categoria 1,subcategoria 1,categoria 2,subcategoria 2,categoria 3,subcategoria 3,doi,url redirigida del doi,
PeroxiBase,https://www.oxfordjournals.org/nar/database/summary/1218,True,http://peroxibase.toulouse.inra.fr/index.php,http://peroxibase.toulouse.inra.fr/index.php,200,OK,,Protein sequence databases,Databases of individual protein families,,,,,http://dx.doi.org/10.1093/nar/gks1083,http://academic.oup.com/nar/article/41/D1/D441/1056454/PeroxiBase-a-database-for-largescale-evolutionary,
SchistoDB,https://www.oxfordjournals.org/nar/database/summary/1219,False,http://SchistoDB.net/,https://schistodb.net/,404,Not Found,,Genomics Databases (non-vertebrate),Invertebrate genome databases,,,,,http://dx.doi.org/10.1093/nar/gks1087,http://academic.oup.com/nar/article/41/D1/D728/1056555/SchistoDB-an-updated-genome-resource-for-the-three,
RAPID,https://www.oxfordjournals.org/nar/database/summary/1220,True,http://web16.kazusa.or.jp/rapid/,http://web16.kazusa.or.jp/rapid/,200,OK,08 Aug 2018,Human Genes and Diseases,"Gene-, system- or disease-specific databases",,,,,,,
ATGC,https://www.oxfordjournals.org/nar/database/summary/1222,,http://dmk-brain.ecn.uiowa.edu/ATGC/,,"HTTPConnectionPool(host='dmk-brain.ecn.uiowa.edu', port=80): Max retries exceeded with url: /ATGC/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0xa5acd730>, 'Connection to dmk-brain.ecn.uiowa.edu timed out. (connect timeout=120)'))","HTTPConnectionPool(host='dmk-brain.ecn.uiowa.edu', port=80): Max retries exceeded with url: /ATGC/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0xa5acd730>, 'Connection to dmk-brain.ecn.uiowa.edu timed out. (connect timeout=120)'))",,Genomics Databases (non-vertebrate),Prokaryotic genome databases,,,,,,,
tRNADB-CE,https://www.oxfordjournals.org/nar/database/summary/1223,False,http://trna.nagahama-i-bio.ac.jp/,http://trna.ie.niigata-u.ac.jp/,200,OK,15 Jul 2020,RNA sequence databases,,,,,,,,
MachiBase,https://www.oxfordjournals.org/nar/database/summary/1224,False,http://machibase.gi.k.u-tokyo.ac.jp/,https://machibase.gi.k.u-tokyo.ac.jp/,200,OK,29 Jul 2019,Nucleotide Sequence Databases,Transcriptional regulator sites and transcription factors,,,,,,,
SuperScent,https://www.oxfordjournals.org/nar/database/summary/1225,False,http://bioinformatics.charite.de/superscent/,https://bioinformatics.charite.de/superscent/,200,OK,14 Mar 2016,Structure Databases,Small molecules,,,,,,,
ConsensusPathDB,https://www.oxfordjournals.org/nar/database/summary/1227,True,http://cpdb.molgen.mpg.de/,http://cpdb.molgen.mpg.de/,200,OK,,Metabolic and Signaling Pathways,Protein-protein interactions,,,,,http://dx.doi.org/10.1093/nar/gks1055,http://academic.oup.com/nar/article/41/D1/D793/1053502/The-ConsensusPathDB-interaction-database-2013,
G2Cdb,https://www.oxfordjournals.org/nar/database/summary/1228,,http://www.genes2cognition.org/,,"HTTPSConnectionPool(host='genes2cognition.org', port=443): Read timed out. (read timeout=120)","HTTPSConnectionPool(host='genes2cognition.org', port=443): Read timed out. (read timeout=120)",,Human Genes and Diseases,"Gene-, system- or disease-specific databases",,,,,,,
Human Proteinpedia,https://www.oxfordjournals.org/nar/database/summary/1229,True,http://www.humanproteinpedia.org/,http://www.humanproteinpedia.org/,200,OK,,Human and other Vertebrate Genomes,Human ORFs,,,,,,,
UCbase and miRfunc,https://www.oxfordjournals.org/nar/database/summary/1230,,http://ucbase.unimore.it/,,"HTTPConnectionPool(host='ucbase.unimore.it', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5ae8598>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='ucbase.unimore.it', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5ae8598>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,Nucleotide Sequence Databases,Coding and non-coding DNA,,,,,http://dx.doi.org/10.1093/nar/gkn702,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkn702,
SPROUTS,https://www.oxfordjournals.org/nar/database/summary/1231,,http://bioinformatics.engineering.asu.edu/springs/Sprouts/index.html,,"HTTPConnectionPool(host='bioinformatics.engineering.asu.edu', port=80): Max retries exceeded with url: /springs/Sprouts/index.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5ae82b0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='bioinformatics.engineering.asu.edu', port=80): Max retries exceeded with url: /springs/Sprouts/index.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0xa5ae82b0>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,Structure Databases,Protein structure,,,,,,,
miROrtho,https://www.oxfordjournals.org/nar/database/summary/1232,False,http://cegg.unige.ch/mirortho/,https://www.ezlab.org,200,OK,,RNA sequence databases,,,,,,,,
HIV-1,https://www.oxfordjournals.org/nar/database/summary/1233,False,http://www.ncbi.nlm.nih.gov/RefSeq/HIVInteractions,https://www.ncbi.nlm.nih.gov/genome/viruses/retroviruses/hiv-1/interactions/,200,OK,,Genomics Databases (non-vertebrate),Viral genome databases,,,,,http://dx.doi.org/10.1093/nar/gku1126,http://academic.oup.com/nar/article/43/D1/D566/2438071/HIV1-human-interaction-database-current-status-and,
miR2Disease,https://www.oxfordjournals.org/nar/database/summary/1234,True,http://www.mir2disease.org/,http://www.mir2disease.org/,200,OK,,RNA sequence databases,,,,,,,,
DNAreplication.net,https://www.oxfordjournals.org/nar/database/summary/1238,True,http://www.dnareplication.net/,http://www.dnareplication.net/,200,OK,24 Jul 2009,Human Genes and Diseases,"Gene-, system- or disease-specific databases",,,,,,,
MMsINC,https://www.oxfordjournals.org/nar/database/summary/1239,True,http://mms.dsfarm.unipd.it/MMsINC/,http://mms.dsfarm.unipd.it/MMsINC/,200,OK,22 Feb 2008,Structure Databases,Small molecules,,,,,,,
HyperCLDB,https://www.oxfordjournals.org/nar/database/summary/1242,True,http://bioinformatics.hsanmartino.it/hypercldb/,http://bioinformatics.hsanmartino.it/hypercldb/,200,OK,21 May 2019,Other Molecular Biology Databases,,,,,,,,
Interferome,https://www.oxfordjournals.org/nar/database/summary/1244,,http://www.interferome.org/,,"HTTPConnectionPool(host='www.interferome.org', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0xa5acdf70>, 'Connection to www.interferome.org timed out. (connect timeout=120)'))","HTTPConnectionPool(host='www.interferome.org', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0xa5acdf70>, 'Connection to www.interferome.org timed out. (connect timeout=120)'))",,Human Genes and Diseases,"Gene-, system- or disease-specific databases",,,,,http://dx.doi.org/10.1093/nar/gks1215,http://academic.oup.com/nar/article/41/D1/D1040/1068970/INTERFEROME-v20-an-updated-database-of-annotated,
P3DB,https://www.oxfordjournals.org/nar/database/summary/1245,False,http://www.p3db.org,https://www.p3db.org/,200,OK,29 Dec 2021,Plant databases,General plant databases,,,,,http://dx.doi.org/10.1093/nar/gkt1135,https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkt1135,
Protein Clusters,https://www.oxfordjournals.org/nar/database/summary/1246,False,http://www.ncbi.nlm.nih.gov/sites/entrez?db=proteinclusters,https://www.ncbi.nlm.nih.gov/proteinclusters,200,OK,,Protein sequence databases,Protein domain databases, protein classification,,,,,,
Virus Mentha,https://www.oxfordjournals.org/nar/database/summary/1247,False,http://160.80.34.9/mentha/virusmentha/,https://virusmentha.uniroma2.it/,200,OK,,Metabolic and Signaling Pathways,Protein-protein interactions,,,,,http://dx.doi.org/10.1093/nar/gku830,http://academic.oup.com/nar/article/43/D1/D588/2439470/VirusMentha-a-new-resource-for-virushost-protein,
Pseudofam,https://www.oxfordjournals.org/nar/database/summary/1251,True,http://pseudofam.gersteinlab.org/,http://pseudofam.gersteinlab.org/,200,OK,,Human and other Vertebrate Genomes,"Model organisms, comparative genomics",,,,,,,
RsiteDB,https://www.oxfordjournals.org/nar/database/summary/1252,True,http://bioinfo3d.cs.tau.ac.il/RsiteDB/,http://bioinfo3d.cs.tau.ac.il/RsiteDB/,200,OK,19 Dec 2018,Structure Databases,Protein structure,,,,,,,
Voronoia,https://www.oxfordjournals.org/nar/database/summary/1255,False,http://bioinformatics.charite.de/voronoia/,https://bioinformatics.charite.de/voronoia/,404,Not Found,,Structure Databases,Protein structure,,,,,,,
PSI-SGKB,https://www.oxfordjournals.org/nar/database/summary/1260,False,http://kb.psi-structuralgenomics.org/,https://psi-structuralgenomics.org/,200,OK,,Structure Databases,Protein structure,,,,,,,
